now_time is 2018-11-07 18-03-23, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-05-43, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-05-53, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-07-24, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-07-34, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-09-49, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-12-29, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-21-15, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-22-10, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-22-30, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-23-10, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-23-15, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-26-40, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-26-50, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-35-01, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-35-06, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-35-51, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-36-06, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-36-16, The Seconds_Behind_Master is 7
now_time is 2018-11-07 18-36-21, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-37-36, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-39-26, The Seconds_Behind_Master is 1
now_time is 2018-11-07 18-40-31, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-43-01, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-44-01, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-44-46, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-48-32, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-52-17, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-53-27, The Seconds_Behind_Master is 6
now_time is 2018-11-07 18-53-37, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-57-27, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-57-47, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-59-12, The Seconds_Behind_Master is 5
now_time is 2018-11-07 18-59-32, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-00-32, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-01-03, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-02-13, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-05-33, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-05-38, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-06-28, The Seconds_Behind_Master is 5
now_time is 2018-11-07 19-14-04, The Seconds_Behind_Master is 1
now_time is 2018-11-07 19-14-14, The Seconds_Behind_Master is 6
now_time is 2018-11-07 19-15-09, The Seconds_Behind_Master is 6
